,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Cayenne,GF,75.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
8,Dali,CN,70.68,broken clouds,25.7,100.1833,Dali Travelling With Hostel
9,Vaini,TO,76.51,light rain,-21.2,-175.2,Keleti Beach Resort
11,Hilo,US,82.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Port Blair,IN,82.22,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Trairi,BR,78.19,scattered clouds,-3.2778,-39.2689,janelas do mar
33,Lamu,KE,75.42,few clouds,-2.2717,40.902,Lamu House
34,Cabo San Lucas,MX,82.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Acapulco,MX,78.64,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
36,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
40,Fare,PF,77.77,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
42,Gigmoto,PH,85.82,overcast clouds,13.7796,124.39,Cj's Travellers Inn
44,Chaozhou,CN,89.46,clear sky,23.6651,116.6379,Seven Corner View Homestay
45,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
56,Nhulunbuy,AU,90.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
57,Kutum,SD,75.09,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
58,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
59,Vao,NC,70.97,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
64,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
65,Hithadhoo,MV,82.58,broken clouds,-0.6,73.0833,Scoop Guest House
66,Airai,TL,76.23,overcast clouds,-8.9266,125.4092,True
69,Topolobampo,MX,81.09,clear sky,25.6,-109.05,Hotel Marina Topolobampo
