,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,38.86,87,100,18.41,light rain
1,Umtata,ZA,-31.5889,28.7844,55.96,100,100,2.3,mist
2,Kadirli,TR,37.3739,36.0961,68.68,75,0,3.58,clear sky
3,Mataura,NZ,-46.1927,168.8643,47.48,83,77,8.95,broken clouds
4,Fortuna,US,40.5982,-124.1573,58.35,85,72,4.47,broken clouds
5,Kapaa,US,22.0752,-159.319,79.12,72,100,10.36,overcast clouds
6,Cayenne,GF,4.9333,-52.3333,75.24,94,20,1.14,few clouds
7,Rikitea,PF,-23.1203,-134.9692,69.58,63,64,20.76,broken clouds
8,Dali,CN,25.7,100.1833,70.68,64,66,5.48,broken clouds
9,Vaini,TO,-21.2,-175.2,76.51,83,100,6.46,light rain
10,Mehamn,NO,71.0357,27.8492,42.75,81,75,13.8,broken clouds
11,Hilo,US,19.7297,-155.09,82.27,86,100,4.61,heavy intensity rain
12,Gurkovo,BG,42.6667,25.8,47.8,70,91,2.19,overcast clouds
13,Port Blair,IN,11.6667,92.75,82.22,76,99,10.31,overcast clouds
14,Yatou,CN,37.15,122.3833,58.84,43,51,16.69,broken clouds
15,Trairi,BR,-3.2778,-39.2689,78.19,80,45,12.33,scattered clouds
16,Waipawa,NZ,-41.4122,175.5153,39.6,74,53,17.45,broken clouds
17,Port Alfred,ZA,-33.5906,26.891,59.18,93,62,4.0,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,47.89,90,9,7.58,clear sky
19,Irtyshskiy,RU,58.3333,68.1333,46.81,59,100,4.29,overcast clouds
20,Albany,US,42.6001,-73.9662,51.73,93,6,4.09,clear sky
21,Zarubino,RU,42.63,131.0922,50.02,35,68,5.01,broken clouds
22,Busselton,AU,-33.65,115.3333,56.55,72,92,14.12,overcast clouds
23,Yellowknife,CA,62.456,-114.3525,41.56,70,20,18.41,few clouds
24,Ndele,CF,8.4109,20.6473,68.38,96,100,3.89,light rain
25,New Norfolk,AU,-42.7826,147.0587,55.92,63,100,7.0,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,65.55,98,68,4.0,broken clouds
27,Narsaq,GL,60.9167,-46.05,35.82,92,39,5.91,scattered clouds
28,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,75,18.41,broken clouds
29,Lompoc,US,34.6391,-120.4579,58.51,95,100,9.22,fog
30,Arteaga,MX,18.4667,-102.4167,64.27,96,96,2.95,overcast clouds
31,Nome,US,64.5011,-165.4064,42.87,76,75,19.57,broken clouds
32,Arman,RU,59.7,150.1667,32.02,45,100,3.18,overcast clouds
33,Lamu,KE,-2.2717,40.902,75.42,83,21,12.73,few clouds
34,Cabo San Lucas,MX,22.8909,-109.9124,82.51,64,59,3.0,broken clouds
35,Acapulco,MX,16.8634,-99.8901,78.64,83,87,4.52,overcast clouds
36,Isangel,VU,-19.55,169.2667,80.71,78,75,11.5,broken clouds
37,Dikson,RU,73.5069,80.5464,32.27,96,100,15.12,overcast clouds
38,Qaanaaq,GL,77.484,-69.3632,4.42,71,33,7.09,scattered clouds
39,Derzhavinsk,KZ,51.1,66.3167,52.7,22,100,9.08,overcast clouds
40,Fare,PF,-16.7,-151.0167,77.77,75,2,25.34,clear sky
41,Meiganga,CM,6.5167,14.3,64.71,98,100,0.98,moderate rain
42,Gigmoto,PH,13.7796,124.39,85.82,70,100,7.61,overcast clouds
43,Ouadda,CF,8.0777,22.4007,67.66,92,98,1.21,overcast clouds
44,Chaozhou,CN,23.6651,116.6379,89.46,50,9,7.54,clear sky
45,Riyadh,SA,24.6877,46.7219,71.74,15,0,1.41,clear sky
46,Nikolskoye,RU,59.7035,30.7861,51.69,97,99,8.93,overcast clouds
47,Imperia,IT,43.9667,7.7833,56.86,88,1,4.5,clear sky
48,Barrow,US,71.2906,-156.7887,32.02,86,40,9.22,scattered clouds
49,Pevek,RU,69.7008,170.3133,32.45,97,100,8.97,light snow
50,Rio Grande,BR,-32.035,-52.0986,61.32,82,100,18.32,overcast clouds
51,Ilulissat,GL,69.2167,-51.1,26.62,68,75,3.44,broken clouds
52,Listvyanskiy,RU,54.4399,83.4984,43.23,86,99,5.35,overcast clouds
53,Hami,CN,42.8,93.45,60.53,30,0,3.47,clear sky
54,Cherskiy,RU,68.75,161.3,30.51,96,100,15.41,light snow
55,Hamilton,US,39.1834,-84.5333,59.4,72,0,0.0,clear sky
56,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,40,10.36,scattered clouds
57,Kutum,SD,14.2,24.6667,75.09,33,46,4.29,scattered clouds
58,Carnarvon,AU,-24.8667,113.6333,71.67,26,0,20.71,clear sky
59,Vao,NC,-22.6667,167.4833,70.97,62,95,15.32,overcast clouds
60,Ferme-Neuve,CA,46.7001,-75.4493,53.22,96,74,4.29,broken clouds
61,Kuldur,RU,49.2167,131.6333,41.07,34,34,13.0,scattered clouds
62,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,9.22,clear sky
63,Castro,BR,-24.7911,-50.0119,58.55,97,100,8.16,overcast clouds
64,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,84,96,10.69,overcast clouds
65,Hithadhoo,MV,-0.6,73.0833,82.58,75,77,18.99,broken clouds
66,Airai,TL,-8.9266,125.4092,76.23,50,97,3.69,overcast clouds
67,Iqaluit,CA,63.7506,-68.5145,31.73,100,100,6.91,light snow
68,Hirado,JP,33.3597,129.5531,68.43,72,100,13.29,overcast clouds
69,Topolobampo,MX,25.6,-109.05,81.09,65,0,8.48,clear sky
70,Ribeira Grande,PT,38.5167,-28.7,71.31,83,97,5.57,overcast clouds
71,Hobart,AU,-42.8794,147.3294,56.26,76,75,16.11,broken clouds
72,Torbay,CA,47.6666,-52.7314,49.26,91,0,9.22,clear sky
73,Lagoa,PT,39.05,-27.9833,68.49,88,98,15.52,light rain
74,Jamestown,US,42.097,-79.2353,51.71,71,27,1.79,scattered clouds
75,Taltal,CL,-25.4,-70.4833,59.61,58,0,6.42,clear sky
76,Manta,EC,-0.95,-80.7333,71.38,78,100,9.22,overcast clouds
77,Viedma,AR,-40.8135,-62.9967,56.39,68,2,20.38,clear sky
78,Cape Town,ZA,-33.9258,18.4232,57.11,82,20,9.22,few clouds
79,Kieta,PG,-6.2167,155.6333,85.1,61,78,8.59,broken clouds
80,Paita,PE,-5.0892,-81.1144,62.06,84,2,10.42,clear sky
81,Portland,US,45.5234,-122.6762,64.44,85,0,4.61,clear sky
82,Alice Springs,AU,-23.7,133.8833,94.55,40,0,21.85,clear sky
83,Nyrob,RU,60.733,56.7202,42.67,78,100,7.02,overcast clouds
84,At-Bashi,KG,41.1702,75.8106,49.21,51,94,3.91,light rain
85,Saint-Philippe,RE,-21.3585,55.7679,69.39,71,40,12.35,scattered clouds
86,Saskylakh,RU,71.9167,114.0833,14.32,93,78,9.19,broken clouds
87,Muli,MV,2.9167,73.5667,81.59,77,98,18.21,overcast clouds
88,Butaritari,KI,3.0707,172.7902,82.49,72,7,14.52,clear sky
89,Chokurdakh,RU,70.6333,147.9167,21.81,90,98,9.78,overcast clouds
90,Pisco,PE,-13.7,-76.2167,57.25,82,40,3.44,smoke
91,Auki,SB,-8.7676,160.7034,84.78,61,91,3.85,overcast clouds
92,Marawi,PH,7.9986,124.2928,78.49,79,78,3.18,broken clouds
93,Provideniya,RU,64.3833,-173.3,43.56,97,100,30.31,moderate rain
94,Waddan,LY,29.1614,16.139,66.4,78,0,5.32,clear sky
95,Lakes Entrance,AU,-37.8811,147.981,74.16,58,79,10.04,broken clouds
96,Geraldton,AU,-28.7667,114.6,68.41,37,40,16.11,scattered clouds
97,Belmonte,BR,-15.8631,-38.8828,73.4,87,42,6.69,scattered clouds
98,Kruisfontein,ZA,-34.0033,24.7314,49.89,92,5,6.26,clear sky
99,Nove Zamky,SK,47.9854,18.1619,52.02,92,97,4.34,overcast clouds
100,Pleszew,PL,51.8964,17.7855,54.41,74,98,12.06,overcast clouds
101,Hodmezovasarhely,HU,46.4167,20.3333,47.17,71,100,4.99,overcast clouds
102,Caravelas,BR,-17.7125,-39.2481,73.08,91,61,5.32,broken clouds
103,Avarua,CK,-21.2078,-159.775,77.05,69,10,18.41,clear sky
104,Faanui,PF,-16.4833,-151.75,78.04,75,5,25.14,clear sky
105,Bandarbeyla,SO,9.4942,50.8122,78.87,75,16,20.89,few clouds
106,Celestun,MX,20.8667,-90.4,75.97,72,4,10.98,clear sky
107,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,12.66,light rain
108,Kulhudhuffushi,MV,6.6221,73.07,81.27,77,100,16.98,overcast clouds
109,Akyab,MM,20.15,92.9,85.26,68,16,1.12,few clouds
110,Banda Aceh,ID,5.5577,95.3222,81.37,75,97,11.88,overcast clouds
111,Frontera,MX,26.9333,-101.45,76.32,60,100,1.99,overcast clouds
112,Pueblo Nuevo,MX,23.3833,-105.3833,52.77,94,86,4.09,overcast clouds
113,Broome,US,42.2506,-75.833,52.63,79,2,2.17,clear sky
114,Mackay,AU,-21.15,149.2,74.68,74,55,14.99,broken clouds
115,Cidreira,BR,-30.1811,-50.2056,63.61,85,100,22.06,overcast clouds
116,Tuatapere,NZ,-46.1333,167.6833,46.17,67,96,14.0,overcast clouds
117,Port Hardy,CA,50.6996,-127.4199,60.98,82,20,6.91,few clouds
118,Patacamaya,BO,-17.2333,-67.9167,44.15,14,30,1.66,scattered clouds
119,Nizhniy Baskunchak,RU,48.2198,46.8311,55.02,59,100,7.92,overcast clouds
120,Hermanus,ZA,-34.4187,19.2345,54.82,82,27,13.58,scattered clouds
121,Sorland,NO,67.667,12.6934,48.06,78,100,35.28,overcast clouds
122,Zhigansk,RU,66.7697,123.3711,25.92,74,97,26.84,overcast clouds
123,Kemi,FI,65.8596,24.8228,49.77,93,100,17.27,moderate rain
124,Miramar,US,25.9873,-80.2323,79.02,76,64,9.91,broken clouds
125,Port Lincoln,AU,-34.7333,135.8667,68.13,59,25,7.78,scattered clouds
126,Tiksi,RU,71.6872,128.8694,24.94,85,100,14.72,light snow
127,Georgetown,MY,5.4112,100.3354,85.95,80,20,3.44,light rain
128,La Ronge,CA,55.1001,-105.2842,35.85,60,20,9.22,few clouds
129,Kolodeznyy,RU,51.3333,39.1833,44.11,91,78,8.21,broken clouds
130,Balabac,PH,7.9868,117.0645,85.68,70,97,7.23,overcast clouds
131,Listvyagi,RU,53.6772,86.951,41.32,86,100,3.27,overcast clouds
132,Fairbanks,US,64.8378,-147.7164,44.82,73,0,0.0,clear sky
133,Mayo,US,38.8876,-76.5119,59.95,94,100,0.0,overcast clouds
134,Gazanjyk,TM,39.2446,55.5154,61.59,11,0,14.72,clear sky
135,Bluff,NZ,-46.6,168.3333,47.8,55,94,20.51,overcast clouds
136,Kysyl-Syr,RU,63.8986,122.7617,29.05,70,100,11.05,overcast clouds
137,Shiraz,IR,29.6036,52.5388,60.24,39,0,0.0,clear sky
138,Veraval,IN,20.9,70.3667,83.23,69,21,13.53,few clouds
139,Guerrero Negro,MX,27.9769,-114.0611,69.93,81,0,13.35,clear sky
140,Bermeo,ES,43.4209,-2.7215,65.25,92,99,1.72,overcast clouds
141,Folldal,NO,62.1325,9.9968,37.33,84,31,6.73,scattered clouds
142,Tiznit,MA,29.5833,-9.5,68.88,56,81,0.47,broken clouds
143,Sao Filipe,CV,14.8961,-24.4956,78.01,86,47,13.71,scattered clouds
144,Leshukonskoye,RU,64.8989,45.7622,43.97,97,100,3.8,overcast clouds
145,Upernavik,GL,72.7868,-56.1549,18.73,89,98,5.64,overcast clouds
146,Nyurba,RU,63.2842,118.3319,30.2,79,100,10.45,overcast clouds
147,Fairview,US,40.8126,-73.999,59.83,83,75,10.36,broken clouds
148,Gravdal,NO,68.1214,13.5031,48.09,87,75,21.85,light rain
149,Gazojak,TM,41.1875,61.4036,57.83,20,0,11.1,clear sky
150,Bay Roberts,CA,47.5999,-53.2648,49.51,94,100,5.82,overcast clouds
151,Sedalia,US,38.7045,-93.2283,66.11,59,40,8.05,scattered clouds
152,Pangnirtung,CA,66.1451,-65.7125,30.65,92,100,2.75,light snow
153,Victoria,HK,22.2855,114.1577,89.96,67,41,10.0,scattered clouds
154,Portobelo,PA,9.55,-79.65,76.96,86,100,4.59,overcast clouds
155,Antofagasta,CL,-23.65,-70.4,56.48,59,0,11.01,clear sky
156,Maniitsoq,GL,65.4167,-52.9,32.83,70,95,12.53,overcast clouds
157,Beloha,MG,-25.1667,45.05,72.34,79,4,3.98,clear sky
